DATE,OPEN,HIGH,LOW,CLOSE,VOL
2016-09-02,151.777,152.57,151.063,151.569,665058.16334818
2016-09-06,151.797,153.74,151.727,153.046,758179.90460793
2016-09-07,153.195,155.108,152.937,154.711,950716.17370735
2016-09-08,153.551,153.988,150.25,151.836,1820398.849436
2016-09-09,149.913,150.766,146.196,146.196,1567173.2033834
2016-09-12,145.968,147.058,144.709,146.563,2265605.9340944
2016-09-13,146.176,147.187,144.005,144.491,1231882.0746339
2016-09-14,144.828,145.75,143.52,144.065,733480.86859918
2016-09-15,143.837,144.184,142.122,142.34,1174002.1575437
2016-09-16,141.696,142.38,141.18,141.557,1005777.5518902
2016-09-19,141.557,142.36,140.902,141.854,1017192.9371
2016-09-20,142.439,142.647,138.841,139.435,1252602.4716124
2016-09-21,139.197,140.139,138.771,139.901,1168224.8589314
2016-09-22,141.13,143.182,140.526,142.598,1641452.9010811
2016-09-23,142.449,143.262,141.725,142.687,1439090.0795491
2016-09-26,142.201,143.658,141.309,143.539,1043091.4157576
2016-09-27,144.927,146.008,143.995,144.392,1204091.1196019
2016-09-28,144.6,144.689,142.161,142.449,1172069.3298606
2016-09-29,142.37,142.38,139.663,140.308,849260.87843403
2016-09-30,140.635,142.945,139.832,142.568,1114393.1868789
2016-10-03,142.003,142.707,140.129,140.466,656560.17775197
2016-10-04,140.843,141.596,139.693,140.109,619644.7830573
2016-10-05,141.13,142.845,141.012,142.38,731201.01966193
2016-10-06,142.142,142.538,140.932,142.181,636294.74177828
2016-10-07,142.836,143.113,140.754,141.636,414985.97206452
2016-10-10,142.449,143.262,141.309,141.567,456479.22272258
2016-10-11,141.468,141.943,140.02,140.328,657326.85261582
2016-10-12,140.199,142.518,140.139,141.468,536528.14877087
2016-10-13,140.784,141.121,138.722,140.347,802494.72052152
2016-10-14,141.091,142.033,139.872,140.209,590991.3188034
2016-10-17,139.961,140.288,136.858,136.987,841355.04829187
2016-10-18,137.82,138.523,134.429,136.719,1573935.073926
2016-10-19,135.807,138.623,131.971,135.976,2278380.1496221
2016-10-20,135.837,136.471,134.707,135.094,966488.49146575
2016-10-21,134.519,135.946,133.656,135.688,525263.07218576
2016-10-24,136.65,137.245,134.479,134.895,1059791.8136143
2016-10-25,134.281,137.929,133.963,137.502,1169120.6579829
2016-10-26,137.225,138.295,136.432,137.641,911530.00911987
2016-10-27,137.145,138.196,132.883,133.121,1425736.8227427
2016-10-28,132.397,135.203,132.139,134.072,1061476.4807494
2016-10-31,134.191,134.657,132.744,133.954,1336415.1659726
2016-11-01,133.765,134.737,132.476,133.686,838941.03125344
2016-11-02,133.557,133.874,131.109,132.09,765348.31458499
2016-11-03,132.724,134.152,132.179,132.764,1066842.1960136
2016-11-04,132.764,133.874,129.8,130.206,1145522.2039169
2016-11-07,131.505,131.783,130.236,131.505,898781.01316011
2016-11-08,131.416,132.903,130.117,131.634,963315.86982519
2016-11-09,128.868,134.39,128.194,134.191,1411815.6212674
2016-11-10,134.687,140.02,134.687,139.425,2376298.6526945
2016-11-11,138.732,140.754,137.334,138.642,1819939.8533004
2016-11-14,138.9,140.526,135.946,136.63,3564972.5460539
2016-11-15,156.813,159.569,154.444,157.14,7690193.7576533
2016-11-16,156.049,156.565,153.879,155.851,1967155.5501188
2016-11-17,156.277,159.638,155.237,159.013,1565429.0180681
2016-11-18,158.815,159.41,155.128,155.455,1282818.5402927
2016-11-21,155.633,160.025,154.9,159.569,799760.91936225
2016-11-22,160.253,163.474,159.737,162.82,1451553.5900003
2016-11-23,162.79,163.99,161.254,163.534,1027137.5171103
2016-11-25,164.158,164.475,162.671,163.365,424170.93869006
2016-11-28,163.643,166.656,163.068,163.286,1069642.5768321
2016-11-29,164.783,165.853,162.255,162.344,669078.16246985
2016-11-30,162.047,163.187,161.016,162.275,865522.4558095
2016-12-01,161.759,164.049,159.975,163.276,898154.55909373
2016-12-02,162.979,164.436,162.423,162.681,509364.65658791
2016-12-05,163.92,164.416,162.503,163.048,774241.74300572
2016-12-06,162.711,166.111,162.394,165.685,787976.31967861
2016-12-07,164.822,169.224,164.822,169.025,810003.09027374
2016-12-08,168.669,170.017,167.489,168.778,833345.31353
2016-12-09,168.312,169.531,166.309,167.866,545513.37641872
2016-12-12,166.557,167.925,164.228,165.407,1139565.3419812
2016-12-13,165.635,167.261,163.643,164.327,1056227.7842801
2016-12-14,165.427,166.636,162.433,163.99,1524928.4096022
2016-12-15,164.089,165.814,163.504,165.328,693989.04284887
2016-12-16,165.734,166.339,163.663,164.366,932628.69961664
2016-12-19,164.079,167.836,164.079,166.171,574435.17687497
2016-12-20,166.607,168.589,164.664,167.915,1303477.4015255
2016-12-21,167.142,167.816,165.734,165.923,475437.27629685
2016-12-22,165.199,165.834,162.305,162.969,989191.14648033
2016-12-23,163.266,164.585,162.602,163.445,349524.0440838
2016-12-27,163.296,165.239,163.296,164.357,531858.49358036
2016-12-28,164.525,165.397,162.929,162.998,373629.91585578
2016-12-29,162.681,163.633,162.086,162.87,451035.8311892
2016-12-30,163.871,164.515,161.264,161.759,536361.6996228
2017-01-03,163.355,163.91,161.938,163.177,723016.76549026
2017-01-04,162.949,165.606,162.949,164.515,671618.27734773
2017-01-05,163.425,165.506,162.82,164.396,694738.56840656
2017-01-06,163.871,164.505,161.928,162.245,865053.37184674
2017-01-09,162.661,162.87,160.986,162.146,585668.98119589
2017-01-10,161.353,164.436,161.293,162.523,649621.77023407
2017-01-11,165.923,167.36,163.474,165.853,929500.46441556
